Displacement	Horsepower	Weight	MPG
307	130	3504	18
350	165	3693	15
318	150	3436	18
304	150	3433	16
302	140	3449	17
429	198	4341	15
454	220	4354	14
440	215	4312	14
455	225	4425	14
390	190	3850	15
133	115	3090	14
350	165	4142	16
351	153	4034	17
383	175	4166	19
360	175	3850	20
383	170	3563	15
340	160	3609	14
302	140	3353	16
400	150	3761	15
455	225	3086	14
113	95	2372	24
198	95	2833	22
199	97	2774	18
200	85	2587	21
97	88	2130	27
97	46	1835	26
110	87	2672	25
107	90	2430	24
104	95	2375	25
121	113	2234	26
199	90	2648	21
360	215	4615	10
307	200	4376	10
318	210	4382	11
304	193	4732	9
107	86	2464	28
116	81	2220	25
140	92	2572	25
98	79	2255	26
101	83	2202	27
305	140	4215	17.5
318	150	4190	16
304	120	3962	15.5
351	152	4215	14.5
225	100	3233	22
250	105	3353	22
200	81	3012	24
232	90	3085	22.5
85	52	2035	29
98	60	2164	24.5
90	70	1937	29
91	53	1795	33
225	100	3651	20
250	78	3574	18
250	110	3645	18.5
258	95	3193	17.5
97	71	1825	29.5
85	70	1990	32
97	75	2155	28
140	72	2565	26.5
130	102	3150	20
318	150	3940	13
120	88	3270	19
156	108	2930	19
168	120	3820	16.5
350	180	4380	16.5
350	145	4055	13
302	130	3870	13
318	150	3755	13
112	88	2605	28
112	88	2640	27
112	88	2395	34
112	85	2575	31
135	84	2525	29
151	90	2735	27
140	92	2865	24
151	91	3035	23
105	74	1980	36
91	68	2025	37
91	68	1970	31
105	63	2125	38
98	70	2125	36
120	88	2160	36
107	75	2205	36
108	70	2245	34
91	67	1965	38
91	67	1965	32
91	67	1995	38
181	110	2945	25
262	85	3015	38
156	92	2585	26
232	112	2835	22
144	96	2665	32
135	84	2370	36
151	90	2950	27
140	86	2790	27
97	52	2130	44
135	84	2295	32
120	79	2625	28
119	82	2720	31
